,0
2023-06-30,100000.0
2023-07-01,100000.0
2023-07-02,100000.0
2023-07-03,99911.22082157282
2023-07-04,93763.6458980096
2023-07-05,93437.14692659298
2023-07-06,92557.01360714193
2023-07-07,83653.5307972889
2023-07-08,82001.47052692264
2023-07-09,85779.21809350784
2023-07-10,96775.82680725137
2023-07-11,89617.71917043405
2023-07-12,92024.99785518183
2023-07-13,79641.00169530037
2023-07-14,92449.3930783509
2023-07-15,77615.23138929499
2023-07-16,76880.42174283063
2023-07-17,89040.24500602813
2023-07-18,98952.12653817193
2023-07-19,82024.47362848406
2023-07-20,84459.14943178886
2023-07-21,99808.71610973068
2023-07-22,81741.0003534916
2023-07-23,82833.00504520664
2023-07-24,88588.52554136887
2023-07-25,84041.20455491451
2023-07-26,77444.5641809669
2023-07-27,87461.17025519803
2023-07-28,84862.20200525361
2023-07-29,84512.75462400206
2023-07-30,85693.35983685865
2023-07-31,92431.37664184792
2023-08-01,89620.13824808737
2023-08-02,90317.06599933215
2023-08-03,87845.4243916255
2023-08-04,75728.53122432603
2023-08-05,72792.18520484868
2023-08-06,77266.49643703108
2023-08-07,77301.27889745729
2023-08-08,86177.73491468652
2023-08-09,86047.02463836454
2023-08-10,80068.8657061967
2023-08-11,76342.16521984318
2023-08-12,81483.15210108168
2023-08-13,82379.4556151774
2023-08-14,90900.13426417994
2023-08-15,87000.47316181012
2023-08-16,80949.23437635179
2023-08-17,79939.32519221786
2023-08-18,78378.36768811583
2023-08-19,80965.80058971298
2023-08-20,87686.27529130928
2023-08-21,85739.28849144412
2023-08-22,85779.87508452337
2023-08-23,82928.57742956223
2023-08-24,84220.65056146288
2023-08-25,70997.67432458146
2023-08-26,83626.76912897092
2023-08-27,73554.15481261801
2023-08-28,73643.41990200127
2023-08-29,74834.25815974751
2023-08-30,77499.50141225025
2023-08-31,84806.14157556466
2023-09-01,77593.84921851155
2023-09-02,67248.5934959113
2023-09-03,65330.78797960486
2023-09-04,76018.05391934249
2023-09-05,65266.0374106578
2023-09-06,76167.35677383603
2023-09-07,73437.66273184032
2023-09-08,74889.16085167497
2023-09-09,77332.24266156726
2023-09-10,72636.7065881547
2023-09-11,77878.86578685636
2023-09-12,74713.0069608093
2023-09-13,71763.85975950412
2023-09-14,82413.94601455549
2023-09-15,71207.20645804289
2023-09-16,69047.56854894299
2023-09-17,71827.0114111416
2023-09-18,77169.38276327262
2023-09-19,69117.62172157096
2023-09-20,68670.87988459424
2023-09-21,67512.87826531428
2023-09-22,63301.74643505464
2023-09-23,71859.73935359858
2023-09-24,81023.2986812822
2023-09-25,76474.31965042875
2023-09-26,73153.50163478211
2023-09-27,79841.51251910787
2023-09-28,85529.8495582364
2023-09-29,70791.77500409211
2023-09-30,72705.08519055611
2023-10-01,72509.28557399017
2023-10-02,79442.87494730236
2023-10-03,78247.48492537465
2023-10-04,73559.06265911195
2023-10-05,73732.24621661153
2023-10-06,78376.90227541534
2023-10-07,67122.58592131421
2023-10-08,79070.83370876606
2023-10-09,82838.1468965545
2023-10-10,86750.7633653373
2023-10-11,67471.35533553164
2023-10-12,80288.92128148774
2023-10-13,62825.253691732054
2023-10-14,62976.85075381201
2023-10-15,70063.47624802345
2023-10-16,74430.00718206409
2023-10-17,67278.06963697319
2023-10-18,73725.715127498
2023-10-19,65848.59778798619
2023-10-20,67223.79847345428
2023-10-21,80051.97282876415
2023-10-22,79799.45279780691
2023-10-23,74575.86280394305
2023-10-24,75384.38660216241
2023-10-25,72135.88123536954
2023-10-26,74666.44319942399
2023-10-27,65297.59866851409
2023-10-28,65329.86814553159
2023-10-29,61227.4345911375
2023-10-30,70227.43956818507
2023-10-31,83465.7458307441
2023-11-01,65144.066508231714
2023-11-02,73453.61723851788
2023-11-03,68450.21274887958
2023-11-04,60394.006149342364
2023-11-05,72282.17659498364
2023-11-06,79828.36347729189
2023-11-07,81652.17268959858
2023-11-08,72614.63457897586
2023-11-09,70173.42145135766
2023-11-10,65673.73302013602
2023-11-11,65068.20170824843
2023-11-12,71645.722241263
2023-11-13,78226.9144403016
2023-11-14,64276.74816739991
2023-11-15,76407.51026096218
2023-11-16,78053.50998174597
2023-11-17,62223.00483526063
2023-11-18,70842.69252616039
2023-11-19,71346.80844113303
2023-11-20,72489.35791005853
2023-11-21,65615.04812333197
2023-11-22,65842.25257058996
2023-11-23,66273.32314694504
2023-11-24,76861.49777275595
2023-11-25,69320.12657480262
2023-11-26,66294.10183080952
2023-11-27,75328.75375472859
2023-11-28,54602.14577302767
2023-11-29,79385.23818636451
2023-11-30,56171.50962851678
2023-12-01,67151.19089483315
2023-12-02,63186.05751125047
2023-12-03,58711.32629070314
2023-12-04,78174.48671839517
2023-12-05,73676.56452308298
2023-12-06,75581.49874071221
2023-12-07,65497.939570885115
2023-12-08,73641.43293604444
2023-12-09,63651.589880107764
2023-12-10,68280.00049141038
2023-12-11,70221.2106668086
2023-12-12,68545.42787878403
2023-12-13,61032.194107826646
2023-12-14,66316.44775387981
2023-12-15,73322.0635466747
2023-12-16,72329.14267407153
2023-12-17,65115.0343731592
2023-12-18,71110.96920080448
2023-12-19,70783.63998727684
2023-12-20,82143.48722930986
2023-12-21,71321.26945672822
2023-12-22,68360.74786684847
2023-12-23,78862.8268987237
2023-12-24,75248.71702074408
2023-12-25,68593.33387668969
2023-12-26,69794.57208769453
2023-12-27,72323.58088436213
2023-12-28,71571.09721118567
2023-12-29,71445.5528393173
2023-12-30,71828.72540856311
2023-12-31,78052.92490272853
