entry_date,exit_date,direction,entry_price,exit_price,volume_mwh,pnl,days_held,exit_reason
2024-08-13,2024-08-14,short,82.01916666666666,84.56125,60.96136065756988,-165.12382776383595,1,forecast_converged
2024-08-15,2024-08-22,long,44.60434782608696,38.18958333333333,99.83487617223616,-648.682940673229,7,max_holding
2024-08-22,2024-08-24,long,38.18958333333333,23.427916666666665,99.18619323156294,-1470.2651276813674,2,forecast_converged
2024-08-26,2024-09-01,short,72.05958333333334,61.87125,67.80217396752565,681.7103474445247,6,forecast_converged
2024-09-02,2024-09-07,short,105.09333333333336,59.736250000000005,46.8144055052617,2115.648492749185,5,forecast_converged
2024-09-08,2024-09-11,long,35.62347826086957,64.33863636363637,100.51328694407528,2876.2074053170977,3,forecast_converged
2024-09-15,2024-09-16,long,27.0525,40.63869565217392,103.38949434939236,1397.671340119791,1,forecast_converged
2024-09-17,2024-09-20,long,31.07631578947369,57.02291666666667,104.78716568951215,2709.6390963295617,3,forecast_converged
2024-09-22,2024-09-24,short,44.075,53.634166666666665,107.4968047858417,-1038.0832962969453,2,forecast_converged
2024-09-25,2024-09-27,long,39.43375,15.239583333333334,106.45872148954477,-2581.5005040045326,2,stop_loss
2024-09-28,2024-09-29,short,33.711739130434786,19.50208333333333,103.87722098554022,1470.5318513684165,1,forecast_converged
2024-09-30,2024-10-07,long,15.12421052631579,55.67958333333333,105.34775283690865,4264.958370106929,7,max_holding
2024-10-08,2024-10-15,long,31.33125,66.34541666666667,109.61271120701558,3827.2911347326476,7,max_holding
2024-10-15,2024-10-16,long,66.34541666666667,30.389166666666668,85.4919661682846,-3082.2405382640195,1,stop_loss
2024-10-16,2024-10-23,long,30.389166666666668,83.32833333333333,110.35776180348421,5829.698336297063,7,forecast_converged
2024-10-24,2024-10-31,long,64.39458333333333,97.29125,90.21524336786709,2953.194262521632,7,max_holding
2024-10-31,2024-11-01,short,97.29125,81.16041666666666,61.228864056275825,976.7462084421605,1,forecast_converged
2024-11-02,2024-11-03,short,90.91260869565215,79.11625,66.06201402319326,768.058764727291,1,forecast_converged
2024-11-05,2024-11-07,short,115.45083333333334,109.46291666666669,52.35365388244882,301.7142600227088,2,forecast_converged
2024-11-08,2024-11-10,short,112.33208333333332,106.04333333333334,53.941478711778736,327.4449813593966,2,forecast_converged
2024-11-13,2024-11-20,short,123.53000000000002,112.09833333333334,49.18425427703977,550.6687962821516,7,max_holding
2024-11-20,2024-11-21,short,112.09833333333334,113.93708333333336,54.445629914124474,-112.41854264791566,1,forecast_converged
2024-11-23,2024-11-24,long,66.27374999999999,11.541428571428572,92.00691742242496,-5042.911712725224,1,stop_loss
2024-11-24,2024-11-29,long,11.541428571428572,113.82791666666668,116.90995715776349,11943.65201625169,5,forecast_converged
2024-11-30,2024-12-01,long,105.37791666666668,90.55958333333332,61.138810317159354,-917.9546565296263,1,forecast_converged
2024-12-02,2024-12-09,short,108.06958333333334,90.39125,59.19133329258643,1034.6569590594165,7,max_holding
2024-12-09,2024-12-10,short,90.39125,126.7225,71.34004202649314,-2607.361805924558,1,stop_loss
2024-12-10,2024-12-17,short,126.7225,93.7425,49.85813477110237,1633.3293110686448,7,max_holding
2024-12-17,2024-12-19,short,93.7425,60.26541666666666,68.2701437350663,2274.971148390289,2,forecast_converged
2024-12-20,2024-12-26,short,79.47458333333333,112.83416666666666,81.95780629870936,-2749.8394723210336,6,stop_loss
2024-12-30,2024-12-30,long,117.8825,117.8825,54.088355208685904,-12.752141065775831,0,end_of_period
