feature,shap_importance,perm_importance,xgb_importance,stability_cv,rfe_selected
load_mw,0.39919543,-0.003286981597192129,0.014016276,0.79430586,False
temperature_2m_max,0.18655102,-0.002406705867441039,0.02560941,1.0632274,False
temperature_2m_min,0.23905304,0.0013356153678778405,0.016984869,0.5955702,False
precipitation_sum,3.3172846,0.04691009688226653,0.11276345,1.048554,False
wind_speed_10m_max,0.20329091,-0.0010468137364995744,0.01662897,0.9442003,False
shortwave_radiation_sum,1.2041217,0.017905160355326244,0.05784432,1.1220131,False
et0_fao_evapotranspiration,1.1717881,-0.009773523956462993,0.036606133,0.44084242,False
year,0.6589847,0.011242522850018954,0.008988603,0.18576248,True
month,0.0010504475,0.0,2.6256942e-06,1.6740214,False
day,0.40350392,-0.0023901407243575477,0.018230645,0.5798313,False
dayofweek,0.48366085,-0.006564416422206176,0.011172054,0.42068255,True
quarter,0.6009713,0.0009016357030317112,0.0045915805,0.5829657,False
dayofyear,0.31996793,0.0006374894108903018,0.0057967026,0.40159306,False
weekofyear,0.40037066,-0.0018483003897519113,0.009824411,0.4037208,False
month_sin,4.773832,0.11287302133646329,0.04222599,0.9871636,False
month_cos,0.6703068,-0.0070036666937856925,0.01573776,0.5348881,False
day_sin,0.60853875,-0.009628853596925746,0.01916743,0.45269248,False
day_cos,0.24579358,-0.0011653618239421681,0.0075118393,0.25381294,False
dayofweek_sin,2.6473722,-0.016396765843565374,0.008661018,0.46926233,False
dayofweek_cos,1.2974901,-0.0063932640723602056,0.010087021,0.2393405,False
is_weekend,0.47564876,-0.00636849718616912,0.013956992,0.34276202,False
load_lag_1,0.22257215,-0.00042980190304695574,0.019034117,0.59288275,False
load_lag_2,0.08434926,0.00043186871030465035,0.0019685884,1.7236819,False
load_lag_3,0.5521354,-0.00450516661947109,0.015780458,1.0313708,False
load_lag_7,0.7826751,-0.009677489211239444,0.0049290773,0.6364636,False
load_lag_14,14.966666,0.4129681183416012,0.16982077,0.58302283,False
load_rolling_mean_7,7.0822067,0.11732084473340842,0.04093958,0.81382984,False
load_rolling_std_7,0.036265053,-0.0011428160931887589,0.047858626,1.6172278,False
load_rolling_mean_14,0.702143,-0.006804769353811313,0.008353133,0.8088685,False
load_rolling_std_14,1.0367996,0.005627972749284305,0.007616075,0.19875963,False
load_rolling_mean_30,1.8787988,0.021178670302612758,0.10403396,1.5968307,False
load_rolling_std_30,0.27699864,0.00010351970648759811,0.05269603,1.0047556,False
price_lag_1,4.0443387,0.09083562657102365,0.030936062,0.888053,True
price_rolling_mean_7,2.2113967,0.0,0.03962539,1.7320508,True
