feature,importance,category
price_lag_24h,0.2387815,Historical Lags
is_weekend,0.115224004,Calendar
price_lag_48h,0.11044165,Historical Lags
day_of_week,0.039811622,Calendar
quarter,0.03484874,Other
price_lag_168h,0.029068017,Historical Lags
price_roll_mean_168h,0.028542588,Rolling Stats
hour_sin,0.026847135,Calendar
dow_sin,0.02463905,Calendar
hour_cos,0.02083777,Calendar
month,0.020297699,Calendar
year,0.020225052,Other
price_lag_72h,0.01723024,Historical Lags
dow_cos,0.015877957,Calendar
month_cos,0.015007523,Calendar
price_roll_mean_24h,0.013914399,Rolling Stats
solar_production_forecast_mw,0.012994725,Weather Forecasts
hour,0.012767789,Calendar
day_of_year,0.011834228,Calendar
week_of_year,0.011409929,Calendar
price_roll_std_168h,0.011096125,Rolling Stats
load_actual_lag_24h,0.010575354,Historical Lags
month_sin,0.009769526,Calendar
temp_forecast,0.009738765,Weather Forecasts
solar_capacity_factor,0.009105432,Other
load_actual_roll_mean_168h,0.008869659,Rolling Stats
wind10m_forecast,0.008263778,Weather Forecasts
solar_radiation_forecast,0.0077755023,Weather Forecasts
load_actual_roll_mean_24h,0.007125848,Rolling Stats
day_of_month,0.006899028,Calendar
is_summer,0.006892583,Other
wind100m_forecast,0.006747324,Weather Forecasts
wind_capacity_factor,0.0064872075,Other
load_forecast,0.0063412436,Load Forecast
load_actual_roll_std_168h,0.005913419,Rolling Stats
is_night,0.00565786,Other
load_actual_roll_std_24h,0.0055767884,Rolling Stats
price_roll_std_24h,0.0053814612,Rolling Stats
load_actual_lag_48h,0.0044918954,Historical Lags
load_actual_lag_72h,0.0041892864,Historical Lags
load_actual_lag_168h,0.003857469,Historical Lags
humidity_forecast,0.003839964,Weather Forecasts
wind_production_forecast_mw,0.003816075,Weather Forecasts
renewable_production_forecast_mw,0.0034793913,Renewable Forecasts
net_load_forecast_mw,0.002542458,Load Forecast
is_winter,0.0023886668,Other
renewable_coverage_pct,0.0023873157,Renewable Forecasts
cloudcover_forecast,0.0023270356,Weather Forecasts
residual_load_intensity,0.0023119624,Other
renewable_penetration_pct,0.0022536684,Renewable Forecasts
precipitation_forecast,0.001973314,Weather Forecasts
is_peak_hour,0.00132296,Calendar
renewable_curtailment_mw,0.0,Renewable Forecasts
